,code,occupation,tasks,score
1790,3312,Credit And Loan Officers,"Interviewing applicants for personal loans, mortgage loans, student loans and business loans",0.65
1791,3312,Credit And Loan Officers,Submitting credit and loan applications to the management with recommendations for approval or rejection,0.75
1792,3312,Credit And Loan Officers,"Keeping records of payments, and preparing letters requesting payment for overdue accounts and forwarding these for legal action",0.85
1793,3312,Credit And Loan Officers,Completing credit and loan documentation,0.75
1794,3312,Credit And Loan Officers,"Supervising, scheduling and monitoring the tasks of other workers.",0.4
1795,3313,Accounting And Auditing Associate Professionals,Performing financial and accounting tasks,0.75
1796,3313,Accounting And Auditing Associate Professionals,Maintaining complete records of all financial transactions of an undertaking according to general accounting principles with guidance from accountants,0.75
1797,3313,Accounting And Auditing Associate Professionals,"Verifying accuracy of documents and records relating to payments, receipts and other financial transactions",0.75
1798,3313,Accounting And Auditing Associate Professionals,Preparing financial statements and reports for specified periods,0.75
1799,3313,Accounting And Auditing Associate Professionals,Performing accounting calculation using standard computer software packages,0.75
1800,3313,Accounting And Auditing Associate Professionals,Providing assistance in the preparation of cash flow projection and budgets,0.75
1801,3313,Accounting And Auditing Associate Professionals,Applying knowledge of accounting principles in order to identify and solve problems arising in the course of their work,0.65
1802,3313,Accounting And Auditing Associate Professionals,"Enforcing the legal penalty of financial affairs management and providing counselling in terms of accounting systems, administrative and legal management of cooperatives and duties as directed from time to time",0.45
1803,3313,Accounting And Auditing Associate Professionals,"Supervising and analyzing enterprise finance report include prepared finance report, ensure compliance with tax regulations, and identify financial strengths and weaknesses",0.65
1804,3313,Accounting And Auditing Associate Professionals,"Supervising, scheduling and monitoring the tasks of other workers.",0.45
1805,3314,"Statistical, Mathematical And Actuarial Associate Professionals","Performing work related to collecting, processing and dissemination of data in macro-economics, commerce, population, demographics, manpower and the environment for national development and administrative planning",0.65
1806,3314,"Statistical, Mathematical And Actuarial Associate Professionals",Preparing detailed estimates of quantities and costs of materials and labour required for statistical census and survey operations,0.65
1807,3314,"Statistical, Mathematical And Actuarial Associate Professionals","Performing technical tasks connected with establishing, maintaining and using registers and sampling frames for census and survey operations",0.65
1808,3314,"Statistical, Mathematical And Actuarial Associate Professionals",Performing technical tasks connected with data collection and quality control operations in censuses and surveys,0.65
1809,3314,"Statistical, Mathematical And Actuarial Associate Professionals","Using standard computer software packages to perform mathematical, actuarial, statistical and related calculations",0.75
1810,3314,"Statistical, Mathematical And Actuarial Associate Professionals","Preparing mathematical, actuarial, statistical and other results for presentation in graphical or tabular form",0.75
1811,3314,"Statistical, Mathematical And Actuarial Associate Professionals","Applying knowledge of mathematical, actuarial, statistical and related principles and practices in order to identify and solve problems arising in the course of their work",0.65
1812,3314,"Statistical, Mathematical And Actuarial Associate Professionals","Supervising, scheduling and monitoring the tasks of other workers.",0.45
1813,3315,Valuers And Loss Assessors,"Determining the value of raw materials, real estate, industrial equipment, personal and household effects, works of art, gems and other objects offered for sale or to be insured",0.45
1814,3315,Valuers And Loss Assessors,Assessing the extent of damage or loss and liabilities of insurance companies and underwriters for losses covered by insurance policies,0.45
1815,3315,Valuers And Loss Assessors,"Inspecting items or property to evaluate condition, size and construction",0.3
1816,3315,Valuers And Loss Assessors,Obtaining records of sales and value of similar items or property,0.75
1817,3315,Valuers And Loss Assessors,"Supervising, scheduling and monitoring the tasks of other workers.",0.4
1818,3321,Insurance Representatives,Obtaining information about customers’ circumstances necessary to determine the appropriate type of insurance and conditions,0.65
1819,3321,Insurance Representatives,"Negotiating with customers to determine the type and degree of risk for which insurance is derived, extent of coverage and terms of payment",0.45
1820,3321,Insurance Representatives,Negotiating and placing reinsurance contracts,0.45
1821,3321,Insurance Representatives,"Advising on, negotiating terms for and placing insurance contracts for large or special types of projects, installations or risks",0.45
1822,3321,Insurance Representatives,"Supervising, scheduling and monitoring the tasks of other workers.",0.4
1823,3322,Commercial Sales Representatives,Acquiring and updating knowledge of employers' and competitors' products and understanding market conditions,0.7
1824,3322,Commercial Sales Representatives,"Soliciting orders and selling goods to retail, industrial, wholesale and other establishments",0.65
1825,3322,Commercial Sales Representatives,"Selling technical equipment, supplies and related services to business establishments or individuals",0.45
1826,3322,Commercial Sales Representatives,"Providing prospective customers with general and specialised information and the characteristics and functions of the equipment being promoted, and demonstrating its use",0.65
